elapsed_ms,cpu_pct,active_workers,queue_len
10.1,100.0,5,1
20.1,100.0,5,7
30.2,100.0,5,12
40.3,100.0,5,18
50.3,100.0,5,25
60.4,100.0,5,30
70.5,100.0,5,36
80.5,100.0,5,43
90.6,100.0,5,49
100.7,100.0,5,56
110.8,100.0,5,63
120.9,100.0,5,68
130.9,100.0,5,74
141.0,100.0,5,79
151.1,100.0,5,84
161.1,100.0,5,90
171.2,100.0,5,95
181.3,100.0,5,101
191.4,100.0,5,106
201.4,100.0,5,112
211.5,95.0,7,110
222.6,95.0,7,113
232.7,95.0,7,119
242.8,95.0,7,126
252.8,95.0,7,130
262.9,95.0,7,136
273.0,95.0,7,143
284.7,95.0,7,147
295.6,95.0,7,150
305.7,95.0,7,154
315.8,95.0,7,160
327.4,95.0,7,165
337.5,95.0,7,168
347.8,95.0,7,173
357.9,95.0,7,179
368.0,95.0,7,185
378.0,95.0,7,192
388.1,95.0,7,198
398.2,95.0,7,204
408.2,100.0,5,205
418.3,100.0,5,211
428.4,100.0,5,218
438.5,100.0,5,224
448.5,100.0,5,229
458.6,100.0,5,235
468.6,100.0,5,241
478.7,100.0,5,247
488.8,100.0,5,254
498.8,100.0,5,259
508.9,100.0,5,266
519.0,100.0,5,272
529.0,100.0,5,278
539.1,100.0,5,285
549.1,100.0,5,293
559.2,100.0,5,299
569.3,100.0,5,306
579.3,100.0,5,313
589.4,100.0,5,318
599.5,100.0,5,324
609.6,90.0,4,326
619.6,90.0,4,332
629.7,90.0,4,341
639.8,90.0,4,345
649.8,90.0,4,352
659.9,90.0,4,357
670.0,90.0,4,363
680.0,90.0,4,369
690.1,90.0,4,375
700.2,90.0,4,382
710.3,90.0,4,387
720.3,90.0,4,394
730.4,90.0,4,399
740.5,90.0,4,406
750.5,90.0,4,412
760.6,90.0,4,418
770.7,90.0,4,423
780.7,90.0,4,428
790.8,90.0,4,434
800.9,90.0,4,441
810.9,75.0,5,442
821.0,75.0,5,448
831.1,75.0,5,454
841.1,75.0,5,461
851.2,75.0,5,467
861.3,75.0,5,472
871.3,75.0,5,478
881.4,75.0,5,486
891.5,75.0,5,490
901.5,75.0,5,497
911.6,75.0,5,503
921.7,75.0,5,510
931.7,75.0,5,515
941.8,75.0,5,522
951.8,75.0,5,529
962.0,75.0,5,534
972.0,75.0,5,541
982.2,75.0,5,547
992.2,75.0,5,553
1002.3,75.0,5,559
1012.4,90.0,4,559
1022.5,90.0,4,567
1035.3,90.0,4,574
1045.3,90.0,4,581
1055.4,90.0,4,586
1065.5,90.0,4,594
1075.6,90.0,4,601
1085.6,90.0,4,607
1095.7,90.0,4,614
1105.8,90.0,4,619
1115.9,90.0,4,626
1125.9,90.0,4,633
1136.0,90.0,4,639
1146.1,90.0,4,645
1156.2,90.0,4,651
1166.3,90.0,4,657
1176.3,90.0,4,662
1186.4,90.0,4,670
1196.5,90.0,4,675
1206.6,100.0,5,677
1216.7,100.0,5,680
1226.8,100.0,5,687
1236.8,100.0,5,694
1247.3,100.0,5,700
1257.3,100.0,5,707
1267.4,100.0,5,714
1277.5,100.0,5,720
1287.5,100.0,5,726
1297.6,100.0,5,731
1307.7,100.0,5,737
1317.7,100.0,5,742
1327.8,100.0,5,748
1337.9,100.0,5,753
1348.0,100.0,5,759
1358.0,100.0,5,766
1368.1,100.0,5,772
1378.2,100.0,5,777
1388.3,100.0,5,782
1398.4,100.0,5,788
1408.5,85.0,6,788
1418.5,85.0,6,794
1428.6,85.0,6,798
1438.7,85.0,6,805
1448.8,85.0,6,811
1458.9,85.0,6,816
1468.9,85.0,6,822
1479.0,85.0,6,830
1489.1,85.0,6,836
1499.1,85.0,6,843
1509.2,85.0,6,848
1519.3,85.0,6,854
1529.4,85.0,6,860
